dataset,method,model_name,recall_acc,test_acc,forget_label_0,forget_label_1,forget_label_3,forget_label_5,forget_label_6,forget_label_11,forget_label_22,forget_label_33,forget_label_44,forget_label_55,forget_label_51,forget_label_101,forget_label_151,forget_label_198,forget_label_7,forget_label_9
cifar10,retrain,resnet18,"(66.24888899197049, 69.12)","(74.43, 99.63)","(70.71111092122396, 75.24444444444444)","(79.06666692437067, 80.88888888888889)","(48.577777777777776, 51.15555555555555)","(57.11111123657226, 59.68888888888889)","(75.77777789984809, 78.62222222222222)",,,,,,,,,,,
cifar10,FT,resnet18,"(66.87111105821397, 69.94666666666667)","(74.87, 99.68)","(72.35555576578776, 76.66666666666667)","(80.57777761501737, 82.88888888888889)","(49.37777777777778, 52.577777777777776)","(55.95555543687608, 57.24444444444444)","(76.08888909912109, 80.35555555555555)",,,,,,,,,,,
cifar10,FF,resnet18,"(51.82222220594618, 94.84444444444445)","(36.01, 99.49)","(34.488888793945314, 90.53333333333333)","(99.91111111111111, 99.95555555555555)","(33.42222213745117, 91.33333333333333)","(33.15555550130208, 94.75555555555556)","(58.13333344862196, 97.64444444444445)",,,,,,,,,,,
cifar10,GA,resnet18,"(76.33777779541016, 92.11555555555555)","(66.63, 99.62)","(78.8000002983941, 93.42222222222222)","(75.64444430202909, 91.73333333333333)","(73.28888894314237, 92.08888888888889)","(77.15555550130209, 91.5111111111111)","(76.8000002102322, 91.82222222222222)",,,,,,,,,,,
cifar10,IU,resnet18,"(87.46666674669054, 96.77333333333334)","(69.82, 99.66000000000001)","(94.84444422064887, 97.91111111111111)","(86.75555537245009, 95.77777777777777)","(85.82222219509549, 96.66666666666667)","(86.62222245958117, 97.02222222222223)","(83.288889058431, 96.4888888888889)",,,,,,,,,,,
cifar10,FT_prune,resnet18,"(40.21333334757487, 55.724444444444444)","(57.34, 99.28)","(28.133333258734808, 53.2)","(59.15555559285482, 72.44444444444444)","(44.17777790662977, 50.088888888888896)","(37.555555636935765, 47.15555555555556)","(32.04444461398654, 55.733333333333334)",,,,,,,,,,,
cifar10,retrain,vgg16,"(77.6622222290039, 80.70222222222222)","(84.61, 99.7)","(81.06666701253255, 84.8)","(89.24444432915581, 90.8)","(65.95555573866102, 69.77777777777779)","(66.80000009494357, 70.8)","(85.24444452582465, 87.33333333333333)",,,,,,,,,,,
cifar10,FT,vgg16,"(79.8044444539388, 82.55111111111111)","(85.32, 99.77000000000001)","(81.91111110432942, 86.08888888888889)","(90.31111123996311, 91.60000000000001)","(69.5555553656684, 73.06666666666666)","(71.59999972195095, 73.77777777777777)","(85.64444428168403, 88.22222222222223)",,,,,,,,,,,
cifar10,FF,vgg16,"(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",,,,,,,,,,,
cifar10,GA,vgg16,"(59.37777781032986, 82.02666666666667)","(67.64, 99.75)","(64.35555558268229, 87.2)","(38.31111126030816, 60.355555555555554)","(61.06666663614909, 85.42222222222222)","(60.22222233751085, 84.66666666666667)","(72.93333327907986, 92.48888888888888)",,,,,,,,,,,
