dataset,method,model_name,recall_acc_ul,recall_acc_lp,test_acc_ul,test_acc_lp,forget_label_0_ul,forget_label_0_lp,forget_label_1_ul,forget_label_1_lp,forget_label_3_ul,forget_label_3_lp,forget_label_5_ul,forget_label_5_lp,forget_label_6_ul,forget_label_6_lp,forget_label_11_ul,forget_label_11_lp,forget_label_22_ul,forget_label_22_lp,forget_label_33_ul,forget_label_33_lp,forget_label_44_ul,forget_label_44_lp,forget_label_55_ul,forget_label_55_lp,forget_label_51_ul,forget_label_51_lp,forget_label_101_ul,forget_label_101_lp,forget_label_151_ul,forget_label_151_lp,forget_label_198_ul,forget_label_198_lp,forget_label_7_ul,forget_label_7_lp,forget_label_9_ul,forget_label_9_lp,recall_improvement,forget_improvement_0,forget_improvement_1,forget_improvement_3,forget_improvement_5,forget_improvement_6,forget_improvement_11,forget_improvement_22,forget_improvement_33,forget_improvement_44,forget_improvement_55,forget_improvement_51,forget_improvement_101,forget_improvement_151,forget_improvement_198,forget_improvement_7,forget_improvement_9,forget_improvement_sum
cifar10,retrain,resnet18,66.24888899197049,69.40444444444445,74.43,99.66000000000001,70.71111092122396,76.22222222222223,79.06666692437067,81.73333333333333,48.577777777777776,50.93333333333333,57.11111123657226,59.51111111111111,75.77777789984809,78.62222222222222,,,,,,,,,,,,,,,,,,,,,,,0.04763182448020256,0.0779384064144876,0.03372680944693679,0.048490393412625774,0.042023344014394885,0.037536655220129285,,,,,,,,,,,,0.23971560850857432
cifar10,FT,resnet18,66.87111105821397,70.16888888888889,74.87,99.7,72.35555576578776,76.48888888888888,80.57777761501737,83.28888888888889,49.37777777777778,52.93333333333333,55.95555543687608,56.93333333333334,76.08888909912109,81.2,,,,,,,,,,,,,,,,,,,,,,,0.049315433503177034,0.05712530405378365,0.033645892876626705,0.0720072007200719,0.0174741880198168,0.06717289424768264,,,,,,,,,,,,0.2474254799179817
cifar10,FF,resnet18,51.82222220594618,95.66222222222223,36.01,99.5,34.488888793945314,91.06666666666666,99.91111111111111,99.95555555555555,33.42222213745117,93.42222222222222,33.15555550130208,96.13333333333334,58.13333344862196,97.73333333333333,,,,,,,,,,,,,,,,,,,,,,,0.8459691257941802,1.6404639247946382,0.00044483985765117283,1.7952127730471346,1.899463811714993,0.6811926572163579,,,,,,,,,,,,6.0167780066307746
cifar10,GA,resnet18,76.33777779541016,92.13333333333334,66.63,99.68,78.8000002983941,93.24444444444444,75.64444430202909,92.13333333333334,73.28888894314237,91.86666666666666,77.15555550130209,91.24444444444444,76.8000002102322,92.17777777777778,,,,,,,,,,,,,,,,,,,,,,,0.2069166275740462,0.18330512806285756,0.21797885070671286,0.25348696086710987,0.18260368746751598,0.20023147819596973,,,,,,,,,,,,1.037606105300166
cifar10,IU,resnet18,87.46666674669054,97.07555555555555,69.82,99.69,94.84444422064887,98.44444444444444,86.75555537245009,96.31111111111112,85.82222219509549,96.84444444444445,86.62222245958117,97.46666666666667,83.288889058431,96.31111111111112,,,,,,,,,,,,,,,,,,,,,,,0.10985772256181911,0.0379568909215223,0.11014344496600928,0.12843086519354713,0.1251924032790273,0.15635005100793734,,,,,,,,,,,,0.5580736553680433
cifar10,FT_prune,resnet18,40.791111117214626,54.00888888888888,56.99,99.38,43.42222233072917,63.866666666666674,51.68888879055447,66.48888888888888,36.48888898044162,38.44444444444444,24.844444390190972,34.8,47.511111189100475,66.44444444444444,,,,,,,,,,,,,,,,,,,,,,,0.32403573743535763,0.4708290649018514,0.28632846332418993,0.05359317640641281,0.4007155665650408,0.39850327179229317,,,,,,,,,,,,1.609969542989788
cifar10,retrain,vgg16,77.6622222290039,80.77333333333333,84.61,99.77000000000001,81.06666701253255,85.24444444444444,89.24444432915581,90.75555555555556,65.95555573866102,70.22222222222221,66.80000009494357,70.31111111111112,85.24444452582465,87.33333333333333,,,,,,,,,,,,,,,,,,,,,,,0.04005951690585982,0.05153508323298929,0.016932272230038126,0.06469002399839098,0.052561542083490516,0.024504691409841448,,,,,,,,,,,,0.2102236129547504
cifar10,FT,vgg16,79.8044444539388,82.59555555555555,85.32,99.75,81.91111110432942,86.4,90.31111123996311,91.28888888888889,69.5555553656684,73.42222222222222,71.59999972195095,73.86666666666667,85.64444428168403,88.0,,,,,,,,,,,,,,,,,,,,,,,0.03497438169910087,0.05480195342428121,0.010826770211339277,0.05559105719487002,0.031657359686005894,0.02750389401288613,,,,,,,,,,,,0.18038103452938256
cifar10,FF,vgg16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
cifar10,GA,vgg16,59.37777781032986,82.38222222222223,67.64,99.76,64.35555558268229,87.5111111111111,38.31111126030816,61.6,61.06666663614909,86.93333333333332,60.22222233751085,84.22222222222221,72.93333327907986,91.64444444444445,,,,,,,,,,,,,,,,,,,,,,,0.3874251489399847,0.3598066292610773,0.6078886248287989,0.42358078673762384,0.3985239825625364,0.2565508845422764,,,,,,,,,,,,2.046350907932313
cifar10,IU,vgg16,52.72888891398112,81.18222222222222,64.8,99.72999999999999,62.711111148410374,87.82222222222222,38.66666674804687,63.644444444444446,55.644444356282555,87.1111111111111,41.77777792697483,76.88888888888889,64.84444427490234,90.44444444444444,,,,,,,,,,,,,,,,,,,,,,,0.5396156432322751,0.40042522950015336,0.6459770080300301,0.5654952101480691,0.8404255253423549,0.39479095635415024,,,,,,,,,,,,2.847113929374758
cifar10,FT_prune,vgg16,61.902222174750435,70.8,69.54,99.67,72.71111140950521,81.06666666666666,85.91111143663194,90.13333333333333,33.60000007120768,44.800000000000004,61.955555738661026,64.08888888888889,55.33333321465386,73.91111111111111,,,,,,,,,,,,,,,,,,,,,,,0.14373923120451265,0.11491442085245268,0.04914640057724892,0.3333333305076318,0.0344332824521278,0.33574297475246473,,,,,,,,,,,,0.867570409141926
cifar100,retrain,resnet18,19.555555559794108,21.955555555555556,45.89,99.94,,,,,,,,,,,16.0,13.333333333333334,27.55555534362793,29.333333333333332,33.77777862548828,44.888888888888886,11.55555534362793,10.666666666666668,8.88888931274414,11.555555555555555,,,,,,,,,,,,,0.12272727248392816,,,,,,-0.16666666666666663,0.0645161372193685,0.32894733506886986,-0.07692305999394664,0.29999993801117236,,,,,,,0.44987368363879743
cifar100,FT,resnet18,22.577777837117512,22.488888888888887,46.83,99.92,,,,,,,,,,,16.44444465637207,16.88888888888889,34.66666793823242,27.111111111111114,36.4444465637207,46.22222222222222,13.333333015441895,13.333333333333334,12.0,8.88888888888889,,,,,,,,,,,,,-0.003937010491904709,,,,,,0.0270270137912259,-0.21794874663418687,0.26829260917450687,2.3841858522999375e-08,-0.25925925925925924,,,,,,,-0.1818883590858548
cifar100,FF,resnet18,50.755555457221135,96.88888888888889,19.16,99.5,,,,,,,,,,,50.22222137451172,94.22222222222221,79.55555725097656,98.22222222222223,40.0,98.66666666666667,60.88888931274414,97.77777777777777,23.11111068725586,95.55555555555556,,,,,,,,,,,,,0.9089317024724676,,,,,,0.8761062263574215,0.2346368451968392,1.4666666666666668,0.605839404879943,3.13461546044378,,,,,,,6.317864603544651
cifar100,GA,resnet18,29.155555574205188,93.68888888888888,42.97,99.42999999999999,,,,,,,,,,,29.77777862548828,93.77777777777779,28.44444465637207,92.0,20.44444465637207,91.55555555555556,38.66666793823242,97.77777777777777,28.44444465637207,93.33333333333333,,,,,,,,,,,,,2.213414632090849,,,,,,2.1492536416906773,2.2343749759020284,3.478260823143453,1.528735549025627,2.2812499755527824,,,,,,,11.671874965314569
cifar100,IU,resnet18,55.19999985080295,96.17777777777778,41.97,99.53,,,,,,,,,,,71.11111450195312,97.77777777777777,42.66666793823242,92.88888888888889,34.66666793823242,94.22222222222221,76.8888931274414,99.11111111111111,50.66666793823242,96.88888888888889,,,,,,,,,,,,,0.7423510514081777,,,,,,0.37499993443489377,1.1770832684511958,1.7179486182549566,0.28901726998250504,0.9122806537624663,,,,,,,4.471329744886018
cifar100,FT_prune,resnet18,15.733333342658149,16.62222222222222,41.51,99.97,,,,,,,,,,,10.666666984558105,14.666666666666666,30.22222328186035,23.555555555555554,28.44444465637207,40.0,7.555555820465088,2.2222222222222223,1.7777777910232544,2.666666666666667,,,,,,,,,,,,,0.05649717451507915,,,,,,0.3749999590218079,-0.2205882626215058,0.4062499895226211,-0.7058823632533984,0.4999999888241293,,,,,,,0.35477931149365416
cifar100,retrain,vgg16,28.80000004916721,32.62222222222223,59.42,99.94,,,,,,,,,,,24.88888931274414,28.000000000000004,46.66666793823242,47.55555555555556,46.22222137451172,59.111111111111114,11.55555534362793,11.555555555555555,14.666666984558105,16.88888888888889,,,,,,,,,,,,,0.1327160474489493,,,,,,0.12499998084136466,0.019047591280775794,0.278846177300053,1.8339891019391435e-08,0.15151512655673333,,,,,,,0.5744088943188178
cifar100,FT,vgg16,34.66666682603624,38.044444444444444,58.76,99.94,,,,,,,,,,,28.88888931274414,29.777777777777775,52.4444465637207,54.22222222222223,50.66666793823242,60.88888888888889,24.44444465637207,25.333333333333336,16.88888931274414,20.0,,,,,,,,,,,,,0.09743589239076594,,,,,,0.030769215645874873,0.03389826330499082,0.2017543558048528,0.03636362737860579,0.18421049659602273,,,,,,,0.48699595873034707
cifar100,FF,vgg16,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
cifar100,GA,vgg16,14.400000024583605,89.77777777777777,54.76,99.76,,,,,,,,,,,10.666666984558105,93.33333333333333,23.55555534362793,80.44444444444444,11.55555534362793,96.0,16.44444465637207,89.77777777777777,9.777777671813965,89.33333333333333,,,,,,,,,,,,,5.234567890590946,,,,,,7.749999739229686,2.415094370347998,7.307692460054479,4.459459389100727,8.136363735376312,,,,,,,30.068609694109202
cifar100,IU,vgg16,38.9333333062066,94.75555555555556,51.62,99.78,,,,,,,,,,,25.33333396911621,92.44444444444444,55.11111068725586,94.22222222222221,28.44444465637207,97.77777777777777,78.22222137451172,99.11111111111111,7.555555820465088,90.22222222222223,,,,,,,,,,,,,1.4337899560336387,,,,,,2.649122715436633,0.7096774325038342,2.437499974388629,0.26704546827669007,10.941176051912027,,,,,,,17.004521642517815
cifar100,FT_prune,vgg16,20.177777802361383,26.84444444444444,50.64,99.96000000000001,,,,,,,,,,,3.555555582046509,11.11111111111111,42.22222137451172,44.44444444444444,48.4444465637207,60.44444444444444,6.666666507720947,18.22222222222222,0.0,0.0,,,,,,,,,,,,,0.33039647415003576,,,,,,2.1249999767169356,0.05263160008142568,0.2477063674355267,1.7333333985010797,,,,,,,,4.1586713427349675
tinyimg,retrain,resnet18,29.200000161743166,38.96,35.807161390316395,100.0,,,56.0,71.2,,,,,,,,,,,,,,,,,16.399999618530273,17.599999999999998,26.80000114440918,35.199999999999996,16.80000114440918,23.200000000000003,30.0,47.599999999999994,,,,,0.3342465679518746,,0.27142857142857146,,,,,,,,,0.07317075666964347,0.31343277973490546,0.38095228688247196,0.5866666666666664,,,1.6256510613822588
