dataset,method,model_name,recall_acc,test_acc,forget_label_0,forget_label_1,forget_label_3,forget_label_5,forget_label_6,forget_label_11,forget_label_22,forget_label_33,forget_label_44,forget_label_55,forget_label_51,forget_label_101,forget_label_151,forget_label_198,forget_label_7,forget_label_9
cifar10,retrain,resnet18,"(66.24888899197049, 66.26666666666667)","(74.43, 99.5)","(70.71111092122396, 71.6)","(79.06666692437067, 79.06666666666666)","(48.577777777777776, 48.62222222222222)","(57.11111123657226, 56.666666666666664)","(75.77777789984809, 75.37777777777778)",,,,,,,,,,,
cifar10,FT,resnet18,"(66.87111105821397, 67.0488888888889)","(74.87, 99.53)","(72.35555576578776, 73.15555555555555)","(80.57777761501737, 80.4888888888889)","(49.37777777777778, 49.022222222222226)","(55.95555543687608, 55.68888888888889)","(76.08888909912109, 76.88888888888889)",,,,,,,,,,,
cifar10,FF,resnet18,"(51.82222220594618, 53.49333333333334)","(36.01, 97.32)","(34.488888793945314, 44.31111111111111)","(99.91111111111111, 99.02222222222223)","(33.42222213745117, 27.68888888888889)","(33.15555550130208, 33.33333333333333)","(58.13333344862196, 63.11111111111111)",,,,,,,,,,,
cifar10,GA,resnet18,"(76.33777779541016, 76.29333333333334)","(66.63, 98.98)","(78.8000002983941, 78.84444444444443)","(75.64444430202909, 75.6888888888889)","(73.28888894314237, 73.15555555555555)","(77.15555550130209, 76.97777777777777)","(76.8000002102322, 76.8)",,,,,,,,,,,
cifar10,IU,resnet18,"(87.46666674669054, 87.44888888888889)","(69.82, 98.99)","(94.84444422064887, 94.84444444444445)","(86.75555537245009, 86.75555555555555)","(85.82222219509549, 85.82222222222222)","(86.62222245958117, 86.53333333333333)","(83.288889058431, 83.28888888888889)",,,,,,,,,,,
cifar10,FT_prune,resnet18,"(40.791111117214626, 47.14666666666666)","(56.99, 98.17)","(43.42222233072917, 51.77777777777778)","(51.68888879055447, 59.91111111111111)","(36.48888898044162, 38.800000000000004)","(24.844444390190972, 30.844444444444445)","(47.511111189100475, 54.400000000000006)",,,,,,,,,,,
cifar10,retrain,vgg16,"(77.6622222290039, 77.64444444444445)","(84.61, 99.62)","(81.06666701253255, 81.02222222222221)","(89.24444432915581, 89.28888888888889)","(65.95555573866102, 65.95555555555556)","(66.80000009494357, 66.71111111111111)","(85.24444452582465, 85.24444444444444)",,,,,,,,,,,
cifar10,FT,vgg16,"(79.8044444539388, 79.79555555555555)","(85.32, 99.64)","(81.91111110432942, 82.08888888888889)","(90.31111123996311, 90.4)","(69.5555553656684, 69.55555555555556)","(71.59999972195095, 71.37777777777778)","(85.64444428168403, 85.55555555555556)",,,,,,,,,,,
cifar10,FF,vgg16,"(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",,,,,,,,,,,
cifar10,GA,vgg16,"(59.37777781032986, 58.63111111111111)","(67.64, 99.31)","(64.35555558268229, 65.77777777777779)","(38.31111126030816, 46.44444444444444)","(61.06666663614909, 52.04444444444445)","(60.22222233751085, 54.13333333333333)","(72.93333327907986, 74.75555555555556)",,,,,,,,,,,
cifar10,IU,vgg16,"(52.72888891398112, 54.84444444444444)","(64.8, 99.09)","(62.711111148410374, 67.2)","(38.66666674804687, 48.84444444444445)","(55.644444356282555, 47.37777777777778)","(41.77777792697483, 41.28888888888889)","(64.84444427490234, 69.5111111111111)",,,,,,,,,,,
cifar10,FT_prune,vgg16,"(61.902222174750435, 63.12888888888889)","(69.54, 99.21)","(72.71111140950521, 74.57777777777778)","(85.91111143663194, 85.77777777777777)","(33.60000007120768, 34.355555555555554)","(61.955555738661026, 60.266666666666666)","(55.33333321465386, 60.66666666666667)",,,,,,,,,,,
cifar100,retrain,resnet18,"(19.555555559794108, 18.755555555555556)","(45.89, 99.97)",,,,,,"(16.0, 15.11111111111111)","(27.55555534362793, 23.11111111111111)","(33.77777862548828, 37.77777777777778)","(11.55555534362793, 10.222222222222223)","(8.88888931274414, 7.555555555555555)",,,,,,
cifar100,FT,resnet18,"(22.577777837117512, 23.466666666666665)","(46.83, 99.92999999999999)",,,,,,"(16.44444465637207, 16.444444444444446)","(34.66666793823242, 35.55555555555556)","(36.4444465637207, 38.22222222222222)","(13.333333015441895, 15.11111111111111)","(12.0, 12.0)",,,,,,
cifar100,FF,resnet18,"(50.755555457221135, 50.84444444444445)","(19.16, 97.52)",,,,,,"(50.22222137451172, 50.22222222222222)","(79.55555725097656, 79.55555555555556)","(40.0, 40.0)","(60.88888931274414, 60.88888888888889)","(23.11111068725586, 23.555555555555554)",,,,,,
cifar100,GA,resnet18,"(29.155555574205188, 29.42222222222222)","(42.97, 99.75)",,,,,,"(29.77777862548828, 29.777777777777775)","(28.44444465637207, 26.666666666666668)","(20.44444465637207, 22.22222222222222)","(38.66666793823242, 40.0)","(28.44444465637207, 28.444444444444443)",,,,,,
cifar100,IU,resnet18,"(55.19999985080295, 55.288888888888884)","(41.97, 99.53)",,,,,,"(71.11111450195312, 71.11111111111111)","(42.66666793823242, 42.66666666666667)","(34.66666793823242, 35.55555555555556)","(76.8888931274414, 76.88888888888889)","(50.66666793823242, 50.22222222222222)",,,,,,
cifar100,FT_prune,resnet18,"(15.733333342658149, 16.266666666666666)","(41.51, 99.92999999999999)",,,,,,"(10.666666984558105, 12.0)","(30.22222328186035, 27.555555555555557)","(28.44444465637207, 30.22222222222222)","(7.555555820465088, 8.0)","(1.7777777910232544, 3.5555555555555554)",,,,,,
cifar100,retrain,vgg16,"(28.80000004916721, 28.000000000000004)","(59.42, 99.95)",,,,,,"(24.88888931274414, 23.11111111111111)","(46.66666793823242, 46.22222222222222)","(46.22222137451172, 47.55555555555556)","(11.55555534362793, 10.666666666666668)","(14.666666984558105, 12.444444444444445)",,,,,,
cifar100,FT,vgg16,"(34.66666682603624, 34.84444444444444)","(58.76, 99.92999999999999)",,,,,,"(28.88888931274414, 28.444444444444443)","(52.4444465637207, 52.44444444444445)","(50.66666793823242, 51.11111111111111)","(24.44444465637207, 24.88888888888889)","(16.88888931274414, 17.333333333333336)",,,,,,
cifar100,FF,vgg16,"(0, 0)","(0, 0)",,,,,,"(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",,,,,,
cifar100,GA,vgg16,"(14.400000024583605, 13.866666666666665)","(54.76, 99.98)",,,,,,"(10.666666984558105, 14.222222222222221)","(23.55555534362793, 19.555555555555557)","(11.55555534362793, 21.777777777777775)","(16.44444465637207, 6.666666666666667)","(9.777777671813965, 7.111111111111111)",,,,,,
cifar100,IU,vgg16,"(38.9333333062066, 38.48888888888889)","(51.62, 99.65)",,,,,,"(25.33333396911621, 24.444444444444443)","(55.11111068725586, 53.333333333333336)","(28.44444465637207, 28.888888888888886)","(78.22222137451172, 77.33333333333333)","(7.555555820465088, 8.444444444444445)",,,,,,
cifar100,FT_prune,vgg16,"(20.177777802361383, 19.555555555555557)","(50.64, 99.9)",,,,,,"(3.555555582046509, 4.888888888888889)","(42.22222137451172, 34.66666666666667)","(48.4444465637207, 46.22222222222222)","(6.666666507720947, 7.555555555555555)","(0.0, 4.444444444444445)",,,,,,
tinyimg,retrain,resnet18,"(29.200000161743166, 33.36)","(35.807161390316395, 100.0)",,"(56.0, 70.39999999999999)",,,,,,,,,"(16.399999618530273, 13.600000000000001)","(26.80000114440918, 30.4)","(16.80000114440918, 15.2)","(30.0, 37.2)",,
tinyimg,FT,resnet18,"(31.520000421142576, 35.120000000000005)","(35.927185379855516, 100.0)",,"(57.20000076293945, 67.60000000000001)",,,,,,,,,"(16.399999618530273, 14.799999999999999)","(36.400001525878906, 37.6)","(12.40000057220459, 14.000000000000002)","(35.20000076293945, 41.6)",,
tinyimg,FF,resnet18,"(59.68000037841797, 59.84)","(21.16423282176882, 99.39987997599519)",,"(62.400001525878906, 64.0)",,,,,,,,,"(40.400001525878906, 39.2)","(56.0, 56.39999999999999)","(76.4000015258789, 76.4)","(63.20000076293945, 63.2)",,
tinyimg,GA,resnet18,"(44.56000041503906, 45.68)","(32.48649727275167, 99.93998799759952)",,"(43.20000076293945, 46.800000000000004)",,,,,,,,,"(38.400001525878906, 36.8)","(54.400001525878906, 54.0)","(38.79999923706055, 40.0)","(48.0, 50.8)",,
tinyimg,IU,resnet18,"(14.96, 17.68)","(23.42468493364887, 100.0)",,"(23.600000381469727, 46.800000000000004)",,,,,,,,,"(5.599999904632568, 1.2)","(9.600000381469727, 13.200000000000001)","(36.0, 24.8)","(0.0, 2.4)",,
tinyimg,FT_prune,resnet18,"(31.039999948120116, 33.44)","(33.46669332340589, 100.0)",,"(55.20000076293945, 71.2)",,,,,,,,,"(18.0, 7.6)","(35.20000076293945, 37.2)","(28.80000114440918, 20.0)","(18.0, 31.2)",,
tinyimg,retrain,vgg16,"(38.7200003112793, 38.56)","(49.68993796852022, 100.0)",,"(60.0, 64.8)",,,,,,,,,"(31.200000762939453, 27.200000000000003)","(44.0, 44.800000000000004)","(23.200000762939453, 16.8)","(35.20000076293945, 39.2)",,
tinyimg,FT,vgg16,"(41.04000006103516, 40.8)","(47.649529825856526, 100.0)",,"(63.20000076293945, 64.0)",,,,,,,,,"(28.399999618530273, 26.0)","(47.60000228881836, 45.6)","(27.600000381469727, 26.400000000000002)","(38.400001525878906, 42.0)",,
tinyimg,FF,vgg16,"(0, 0)","(0, 0)",,"(0, 0)",,,,,,,,,"(0, 0)","(0, 0)","(0, 0)","(0, 0)",,
tinyimg,GA,vgg16,"(34.87999999694824, 38.24)","(44.9089817791897, 100.0)",,"(36.400001525878906, 50.0)",,,,,,,,,"(35.20000076293945, 31.6)","(39.20000076293945, 38.4)","(30.80000114440918, 25.2)","(32.79999923706055, 46.0)",,
tinyimg,IU,vgg16,"(23.040000004196166, 22.56)","(42.18843764556745, 99.91998399679936)",,"(93.20000457763672, 91.60000000000001)",,,,,,,,,"(3.200000047683716, 3.2)","(0.0, 0.8)","(16.399999618530273, 15.2)","(2.4000000953674316, 2.0)",,
tinyimg,FT_prune,vgg16,"(36.479999996948244, 36.559999999999995)","(44.288857729584244, 100.0)",,"(70.80000305175781, 72.8)",,,,,,,,,"(20.80000114440918, 12.8)","(43.20000076293945, 44.800000000000004)","(18.399999618530273, 16.400000000000002)","(29.200000762939453, 36.0)",,
fmnist,retrain,resnet18,"(95.82222222674335, 96.03703703703704)","(91.54, 99.92)",,"(98.6666668927228, 98.77777777777777)","(90.0000001695421, 90.37037037037037)","(97.70370370370371, 97.77777777777777)",,,,,,,,,,,"(95.55555555555556, 95.92592592592592)","(97.18518546775535, 97.33333333333334)"
fmnist,FT,resnet18,"(96.22962964997468, 96.25925925925925)","(91.48, 99.92999999999999)",,"(98.48148170753761, 98.44444444444444)","(91.11111116762514, 91.2962962962963)","(98.18518518518519, 98.0)",,,,,,,,,,,"(96.51851863154658, 96.62962962962963)","(96.85185207790799, 96.92592592592592)"
fmnist,FF,resnet18,"(74.02222216796875, 77.92592592592592)","(55.89, 96.72)",,"(97.25925931577329, 97.96296296296296)","(10.51851853971128, 14.592592592592593)","(84.70370398627387, 92.2962962962963)",,,,,,,,,,,"(77.70370364718967, 85.33333333333334)","(99.92592592592592, 99.44444444444444)"
fmnist,GA,resnet18,"(77.3333332949038, 81.84444444444445)","(80.2, 98.15)",,"(88.77777772126375, 92.11111111111111)","(72.40740746392144, 77.44444444444444)","(80.6296299121998, 85.70370370370371)",,,,,,,,,,,"(88.48148176405165, 90.85185185185185)","(56.37037053991247, 63.11111111111111)"
fmnist,IU,resnet18,"(46.162962968614366, 53.12592592592592)","(63.29, 91.86999999999999)",,"(90.81481481481481, 93.74074074074073)","(50.703703788474755, 59.7037037037037)","(41.59259267736364, 52.148148148148145)",,,,,,,,,,,"(0.8518518527348836, 3.259259259259259)","(46.851851823594835, 56.777777777777786)"
fmnist,FT_prune,resnet18,"(24.385185188010887, 26.155555555555555)","(32.91, 85.95)",,"(21.777777791906285, 23.666666666666668)","(0.0, 1.4814814814814816)","(5.666666677263048, 8.62962962962963)",,,,,,,,,,,"(94.48148153799552, 96.33333333333334)","(0.0, 0.6666666666666667)"
fmnist,retrain,vgg16,"(96.14814813684534, 96.2)","(92.93, 99.92999999999999)",,"(98.77777772126375, 98.74074074074073)","(89.5925925925926, 89.92592592592594)","(98.11111111111111, 98.0)",,,,,,,,,,,"(97.07407424361618, 97.22222222222221)","(97.18518529821326, 97.11111111111111)"
fmnist,FT,vgg16,"(96.940740713614, 97.0)","(92.71, 99.94)",,"(98.6666668927228, 98.59259259259258)","(92.59259287516277, 92.77777777777779)","(98.85185179533782, 98.77777777777777)",,,,,,,,,,,"(97.18518546775535, 97.22222222222221)","(97.40740752043547, 97.62962962962963)"
fmnist,FF,vgg16,"(0, 0)","(0, 0)",,"(0, 0)","(0, 0)","(0, 0)",,,,,,,,,,,"(0, 0)","(0, 0)"
fmnist,GA,vgg16,"(27.696296297426578, 29.977777777777774)","(56.11, 91.07)",,"(5.518518532647027, 6.185185185185185)","(90.40740768997757, 92.66666666666666)","(27.777777791906285, 31.703703703703706)",,,,,,,,,,,"(14.111111153496637, 17.62962962962963)","(0.6666666666666666, 1.7037037037037037)"
fmnist,IU,vgg16,"(27.429629600242333, 35.71111111111111)","(58.13, 85.92999999999999)",,"(0.037037037037037035, 1.6296296296296295)","(19.29629630336055, 28.370370370370367)","(20.851851880108867, 30.518518518518515)",,,,,,,,,,,"(33.48148148148148, 44.0)","(63.48148148148148, 74.03703703703704)"
fmnist,FT_prune,vgg16,"(92.89629624204282, 93.86666666666666)","(82.7, 99.67)",,"(96.40740746392144, 96.81481481481482)","(86.7037038732458, 88.5925925925926)","(94.88888917145906, 95.4074074074074)",,,,,,,,,,,"(93.85185179533782, 94.7037037037037)","(92.6296299121998, 93.81481481481482)"
