dataset,method,model_name,recall_acc,test_acc,forget_label_0,forget_label_1,forget_label_3,forget_label_5,forget_label_6,forget_label_11,forget_label_22,forget_label_33,forget_label_44,forget_label_55,forget_label_51,forget_label_101,forget_label_151,forget_label_198,forget_label_7,forget_label_9
cifar10,retrain,resnet18,"(66.24888899197049, 57.49333333333333)","(74.43, 100.0)","(70.71111092122396, 67.06666666666666)","(79.06666692437067, 70.31111111111112)","(48.577777777777776, 37.733333333333334)","(57.11111123657226, 44.977777777777774)","(75.77777789984809, 67.37777777777778)",,,,,,,,,,,
cifar10,FT,resnet18,"(66.87111105821397, 57.49333333333333)","(74.87, 100.0)","(72.35555576578776, 67.06666666666666)","(80.57777761501737, 70.31111111111112)","(49.37777777777778, 37.733333333333334)","(55.95555543687608, 44.977777777777774)","(76.08888909912109, 67.37777777777778)",,,,,,,,,,,
cifar10,FF,resnet18,"(51.82222220594618, 57.49333333333333)","(36.01, 100.0)","(34.488888793945314, 67.06666666666666)","(99.91111111111111, 70.31111111111112)","(33.42222213745117, 37.733333333333334)","(33.15555550130208, 44.977777777777774)","(58.13333344862196, 67.37777777777778)",,,,,,,,,,,
cifar10,GA,resnet18,"(76.33777779541016, 57.49333333333333)","(66.63, 100.0)","(78.8000002983941, 67.06666666666666)","(75.64444430202909, 70.31111111111112)","(73.28888894314237, 37.733333333333334)","(77.15555550130209, 44.977777777777774)","(76.8000002102322, 67.37777777777778)",,,,,,,,,,,
cifar10,IU,resnet18,"(87.46666674669054, 57.49333333333333)","(69.82, 100.0)","(94.84444422064887, 67.06666666666666)","(86.75555537245009, 70.31111111111112)","(85.82222219509549, 37.733333333333334)","(86.62222245958117, 44.977777777777774)","(83.288889058431, 67.37777777777778)",,,,,,,,,,,
cifar10,FT_prune,resnet18,"(40.791111117214626, 57.49333333333333)","(56.99, 100.0)","(43.42222233072917, 67.06666666666666)","(51.68888879055447, 70.31111111111112)","(36.48888898044162, 37.733333333333334)","(24.844444390190972, 44.977777777777774)","(47.511111189100475, 67.37777777777778)",,,,,,,,,,,
cifar10,retrain,vgg16,"(77.6622222290039, 57.49333333333333)","(84.61, 100.0)","(81.06666701253255, 67.06666666666666)","(89.24444432915581, 70.31111111111112)","(65.95555573866102, 37.733333333333334)","(66.80000009494357, 44.977777777777774)","(85.24444452582465, 67.37777777777778)",,,,,,,,,,,
cifar10,FT,vgg16,"(79.8044444539388, 57.49333333333333)","(85.32, 100.0)","(81.91111110432942, 67.06666666666666)","(90.31111123996311, 70.31111111111112)","(69.5555553656684, 37.733333333333334)","(71.59999972195095, 44.977777777777774)","(85.64444428168403, 67.37777777777778)",,,,,,,,,,,
cifar10,FF,vgg16,"(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",,,,,,,,,,,
cifar10,GA,vgg16,"(59.37777781032986, 57.49333333333333)","(67.64, 100.0)","(64.35555558268229, 67.06666666666666)","(38.31111126030816, 70.31111111111112)","(61.06666663614909, 37.733333333333334)","(60.22222233751085, 44.977777777777774)","(72.93333327907986, 67.37777777777778)",,,,,,,,,,,
