dataset,method,model_name,recall_acc_ul,recall_acc_lp,test_acc_ul,test_acc_lp,forget_label_0_ul,forget_label_0_lp,forget_label_1_ul,forget_label_1_lp,forget_label_3_ul,forget_label_3_lp,forget_label_5_ul,forget_label_5_lp,forget_label_6_ul,forget_label_6_lp,forget_label_11_ul,forget_label_11_lp,forget_label_22_ul,forget_label_22_lp,forget_label_33_ul,forget_label_33_lp,forget_label_44_ul,forget_label_44_lp,forget_label_55_ul,forget_label_55_lp,forget_label_51_ul,forget_label_51_lp,forget_label_101_ul,forget_label_101_lp,forget_label_151_ul,forget_label_151_lp,forget_label_198_ul,forget_label_198_lp,forget_label_7_ul,forget_label_7_lp,forget_label_9_ul,forget_label_9_lp,recall_improvement,recall_improvement_0,recall_improvement_1,recall_improvement_3,recall_improvement_5,recall_improvement_6,recall_improvement_11,recall_improvement_22,recall_improvement_33,recall_improvement_44,recall_improvement_55,recall_improvement_51,recall_improvement_101,recall_improvement_151,recall_improvement_198,recall_improvement_7,recall_improvement_9,recall_improvement_sum,A_unlearn_acc,A_lipnet_acc,A_r
cifar10,retrain,resnet18,66.24888899197049,69.12,74.43,99.63,70.71111092122396,75.24444444444444,79.06666692437067,80.88888888888889,48.577777777777776,51.15555555555555,57.11111123657226,59.68888888888889,75.77777789984809,78.62222222222222,,,,,,,,,,,,,,,,,,,,,,,0.04333825142905416,0.06411062510771268,0.023046652089953705,0.05306495882891121,0.045136184474482685,0.037536655220129285,,,,,,,,,,,,0.22289507572118955,13446.125434943307,14774.129382716048,0.0987648043444227
cifar10,FT,resnet18,66.87111105821397,69.94666666666667,74.87,99.68,72.35555576578776,76.66666666666667,80.57777761501737,82.88888888888889,49.37777777777778,52.577777777777776,55.95555543687608,57.24444444444444,76.08888909912109,80.35555555555555,,,,,,,,,,,,,,,,,,,,,,,0.04599229113712959,0.05958230650364737,0.02868174504530879,0.06480648064806471,0.0230341562603621,0.05607476343722501,,,,,,,,,,,,0.23217945189460798,13785.169410531425,15180.496790123456,0.10121945824808254
cifar10,FF,resnet18,51.82222220594618,94.84444444444445,36.01,99.49,34.488888793945314,90.53333333333333,99.91111111111111,99.95555555555555,33.42222213745117,91.33333333333333,33.15555550130208,94.75555555555556,58.13333344862196,97.64444444444445,,,,,,,,,,,,,,,,,,,,,,,0.8301886798200987,1.625000007226295,0.00044483985765117283,1.7327127728886116,1.8579088518614724,0.6796636052316227,,,,,,,,,,,,5.895730077065653,6507.543688702166,26560.819753086416,3.081543055822892
cifar10,GA,resnet18,76.33777779541016,92.11555555555555,66.63,99.62,78.8000002983941,93.42222222222222,75.64444430202909,91.73333333333333,73.28888894314237,92.08888888888889,77.15555550130209,91.5111111111111,76.8000002102322,91.82222222222222,,,,,,,,,,,,,,,,,,,,,,,0.2066837444814123,0.1855611912240832,0.21269095410451286,0.25651910155619345,0.18605990866810296,0.19560184857901325,,,,,,,,,,,,1.0364330041319056,17673.07560745036,25576.705185185183,0.44721302354429615
cifar10,IU,resnet18,87.46666674669054,96.77333333333334,69.82,99.66000000000001,94.84444422064887,97.91111111111111,86.75555537245009,95.77777777777777,85.82222219509549,96.66666666666667,86.62222245958117,97.02222222222223,83.288889058431,96.4888888888889,,,,,,,,,,,,,,,,,,,,,,,0.10640243801213495,0.032333648171608886,0.10399590396942764,0.12635939963100734,0.12006156696676545,0.15848452272184216,,,,,,,,,,,,0.5412350414606515,23608.78713680149,28205.264197530865,0.1946934856964493
cifar10,FT_prune,resnet18,40.21333334757487,55.724444444444444,57.34,99.28,28.133333258734808,53.2,59.15555559285482,72.44444444444444,44.17777790662977,50.088888888888896,37.555555636935765,47.15555555555556,32.04444461398654,55.733333333333334,,,,,,,,,,,,,,,,,,,,,,,0.3857206007470903,0.8909952656776823,0.22464312469739936,0.1338028135944801,0.25562129905430625,0.7392510310198114,,,,,,,,,,,,2.2443135340436795,4416.58667741556,9134.032592592594,1.0681203064121738
cifar10,retrain,vgg16,77.6622222290039,80.70222222222222,84.61,99.7,81.06666701253255,84.8,89.24444432915581,90.8,65.95555573866102,69.77777777777779,66.80000009494357,70.8,85.24444452582465,87.33333333333333,,,,,,,,,,,,,,,,,,,,,,,0.039143870803158544,0.046052627116028984,0.017430280198808875,0.0579514795427052,0.05988023801453867,0.024504691409841448,,,,,,,,,,,,0.20581931628192318,18351.68205252746,19878.01777777778,0.08317143468819554
cifar10,FT,vgg16,79.8044444539388,82.55111111111111,85.32,99.77000000000001,81.91111110432942,86.08888888888889,90.31111123996311,91.60000000000001,69.5555553656684,73.06666666666666,71.59999972195095,73.77777777777777,85.64444428168403,88.22222222222223,,,,,,,,,,,,,,,,,,,,,,,0.034417464791169895,0.05100379824219781,0.014271652096188114,0.05047923609465275,0.03041589475256887,0.030098600815949048,,,,,,,,,,,,0.1762691820015566,19258.052304843477,20742.217283950617,0.07706724208729376
cifar10,FF,vgg16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,
cifar10,GA,vgg16,59.37777781032986,82.02666666666667,67.64,99.75,64.35555558268229,87.2,38.31111126030816,60.355555555555554,61.06666663614909,85.42222222222222,60.22222233751085,84.66666666666667,72.93333327907986,92.48888888888888,,,,,,,,,,,,,,,,,,,,,,,0.38143712499117166,0.3549723751194688,0.575406026347409,0.3988355174385037,0.40590405634914634,0.268129190461919,,,,,,,,,,,,2.003247165716447,10855.07260804496,20575.36098765432,0.8954604663266292
cifar10,IU,vgg16,52.74666667751736,81.60888888888888,64.81,99.77000000000001,62.711111148410374,89.28888888888889,38.66666674804687,62.66666666666667,55.644444356282555,86.31111111111112,41.77777792697483,78.44444444444446,64.93333316379123,91.33333333333333,,,,,,,,,,,,,,,,,,,,,,,0.5471857091525691,0.42381289780658304,0.6206896517614124,0.5511182133201791,0.8776595677625764,0.40657084556169876,,,,,,,,,,,,2.87985117621245,8809.30568469065,20533.521975308642,1.3308899373299141
cifar10,FT_prune,vgg16,62.25777776896159,68.86222222222223,68.98,99.69,65.68888920762804,80.22222222222221,81.46666650390625,85.91111111111111,27.333333367241753,32.800000000000004,56.04444440375434,62.088888888888896,80.75555528428819,83.28888888888889,,,,,,,,,,,,,,,,,,,,,,,0.10608223887736104,0.2212449196493113,0.05455537581118224,0.19999999851133782,0.10785091277895952,0.031370394218484,,,,,,,,,,,,0.6150216009692748,11627.88249197772,15017.45975308642,0.29150425827292525
